pathway_description	pathway_genes	pathway_ids	pathway_names
['  3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP) synthase', '  3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP) synthase', '  3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP) synthase', '  Pentafunctional arom protein', '  Bifunctional chorismate synthase and flavin reductase', '  Bifunctional enzyme exhibiting indole-3-glycerol-phosphate synthase and anthranilate synthase activi', '  Anthranilate synthase, catalyzes the initial step of tryptophan biosynthesis, forms multifunctional', '  Anthranilate phosphoribosyl transferase of the tryptophan biosynthetic pathway', '  phosphoribosylanthranilate isomerase', '  Tryptophan synthase involved in tryptophan biosynthesis', '  Tryptophan synthase involved in tryptophan biosynthesis', '  Chorismate mutase, catalyzes the conversion of chorismate to prephenate', '  Prephenate dehydrogenase involved in tyrosine biosynthesis', '  Prephenate dehydratase, catalyzes the conversion of prephanate to phenylpyruvate', '  hypothetical protein', '  Cytosolic aspartate aminotransferase; involved in nitrogen metabolism', '  Histidinol-phosphate aminotransferase, catalyzes the seventh step in histidine biosynthesis', '  Aromatic aminotransferase I, expression is regulated by general control of amino acid biosynthesis', '  Aromatic aminotransferase II']	['PAS_chr3_0936', 'PAS_chr1-4_0218', 'PAS_chr2-1_0473', 'PAS_chr3_0506', 'PAS_chr2-1_0637', 'PAS_chr3_0962', 'PAS_chr2-1_0158', 'PAS_chr4_0294', 'PAS_chr1-3_0029', 'PAS_chr3_0634', 'PAS_chr2-1_0679', 'PAS_chr4_0050', 'PAS_chr2-2_0317', 'PAS_chr4_0437', 'PAS_chr4_0974', 'PAS_chr1-1_0200', 'PAS_chr2-1_0684', 'PAS_chr1-4_0608', 'PAS_chr4_0147']	ppa00400	Phenylalanine, tyrosine and tryptophan biosynthesis
['  hypothetical protein', '  Glutamate decarboxylase, converts glutamate into gamma-aminobutyric acid (GABA)', '  Gamma-aminobutyrate (GABA) transaminase (4-aminobutyrate aminotransferase) involved in the 4-aminobu', '  Gamma-aminobutyrate (GABA) transaminase (4-aminobutyrate aminotransferase)', '  hypothetical protein', '  Peroxisomal primary amine oxidase', '  hypothetical protein', '  hypothetical protein', '  Putative fatty aldehyde dehydrogenase', '  Mitochondrial aldehyde dehydrogenase', '  Mitochondrial aldehyde dehydrogenase', '  Cytoplasmic aldehyde dehydrogenase, involved in ethanol oxidation and beta-alanine biosynthesis', '  Pantothenate synthase, also known as pantoate-beta-alanine ligase', '  3-hydroxyisobutyryl-CoA hydrolase, member of a family of enoyl-CoA hydratase/isomerases', '  Multifunctional enzyme of the peroxisomal fatty acid beta-oxidation pathway', '  Fatty-acyl coenzyme A oxidase', '  Mitochondrial aldehyde dehydrogenase']	['PAS_chr2-1_0343', 'PAS_chr3_0965', 'PAS_chr2-1_0107', 'PAS_chr4_0677', 'PAS_chr4_0621', 'PAS_chr1-4_0441', 'PAS_chr2-1_0307', 'PAS_chr2-1_0853', 'PAS_chr1-4_0064', 'PAS_chr3_0987', 'PAS_chr4_0043', 'PAS_chr2-1_0453', 'PAS_chr1-4_0198', 'PAS_chr3_0937', 'PAS_chr2-1_0776', 'PAS_chr1-4_0538', 'PAS_chr4_0470']	ppa00410	beta-Alanine metabolism
['  hypothetical protein', '  hypothetical protein', '  Glutamate decarboxylase, converts glutamate into gamma-aminobutyric acid (GABA)', '  Gamma-glutamyltranspeptidase', '  NAD(+)-dependent glutamate dehydrogenase, degrades glutamate to ammonia and alpha-ketoglutarate']	['PAS_chr2-2_0322', 'PAS_chr2-1_0343', 'PAS_chr3_0965', 'PAS_chr3_0561', 'PAS_chr2-1_0311']	ppa00430	Taurine and hypotaurine metabolism
['  Choline phosphate cytidylyltransferase', '  Cholinephosphate cytidylyltransferase, also known as CTP:phosphocholine cytidylyltransferase', '  sn-1,2-diacylglycerol ethanolamine-and cholinephosphotranferase']	['PAS_chr4_0408', 'PAS_chr2-2_0401', 'PAS_chr2-2_0357']	ppa00440	Phosphonate and phosphinate metabolism
['  Cystathionine gamma-synthase, converts cysteine into cystathionine', '  Cystathionine beta-lyase, converts cystathionine into homocysteine', '  Cobalamin-independent methionine synthase, involved in amino acid biosynthesis', '  Cystathionine gamma-lyase', '  hypothetical protein', '  ATP sulfurylase, catalyzes the primary step of intracellular sulfate activation', '  Mitochondrial methionyl-tRNA synthetase (MetRS)', '  Methionyl-tRNA synthetase, forms a complex with glutamyl-tRNA synthetase (Gus1p) and Arc1p']	['PAS_chr2-1_0752', 'PAS_chr2-1_0358', 'PAS_chr2-1_0160', 'PAS_chr1-4_0489', 'PAS_chr2-2_0480', 'PAS_chr1-4_0253', 'PAS_chr2-1_0396', 'PAS_chr2-1_0346']	ppa00450	Selenocompound metabolism
['  hypothetical protein', '  Nitrilase, member of the nitrilase branch of the nitrilase superfamily', '  Gamma-glutamyltranspeptidase', '  Cytosolic L-asparaginase', '  hypothetical protein', '  Cytosolic serine hydroxymethyltransferase', '  Mitochondrial serine hydroxymethyltransferase']	['PAS_chr4_0013', 'PAS_chr2-1_0037', 'PAS_chr3_0561', 'PAS_chr3_0591', 'PAS_chr2-2_0481', 'PAS_chr4_0415', 'PAS_chr4_0587']	ppa00460	Cyanoamino acid metabolism
['  Gamma-glutamyltranspeptidase', '  hypothetical protein', '  Putative protein of unknown function', '  Gamma glutamylcysteine synthetase catalyzes the first step in glutathione (GSH) biosynthesis', '  Glutathione synthetase', '  Probable di-and tri-peptidase', '  ER associated glutathione S-transferase capable of homodimerization', '  Nitrogen catabolite repression transcriptional regulator', '  Nitrogen catabolite repression transcriptional regulator that acts by inhibition of GLN3 transcripti', '  Cytosolic and mitochondrial glutathione oxidoreductase', '  Mitochondrial NADP-specific isocitrate dehydrogenase, catalyzes the oxidation of isocitrate', '  Cytosolic NADP-specific isocitrate dehydrogenase', '  6-phosphogluconate dehydrogenase (decarboxylating)', '  Glucose-6-phosphate dehydrogenase (G6PD), catalyzes the first step of the pentose phosphate pathway', '  Thiol peroxidase that functions as a hydroperoxide receptor', '  Ornithine decarboxylase', '  hypothetical protein', '  Spermine synthase, required for the biosynthesis of spermine', '  One of two large regulatory subunits of ribonucleotide-diphosphate reductase', '  One of two large regulatory subunits of ribonucleotide-diphosphate reductase', '  Small subunit of the ribonucleotide-diphosphate reductase (RNR) complex']	['PAS_chr3_0561', 'PAS_chr1-1_0029', 'PAS_chr2-2_0423', 'PAS_chr1-1_0184', 'PAS_chr1-4_0496', 'PAS_chr1-3_0128', 'PAS_chr2-2_0116', 'PAS_chr2-1_0490', 'PAS_chr2-1_0033', 'PAS_chr3_1011', 'PAS_chr1-1_0233', 'PAS_chr2-1_0580', 'PAS_chr3_0277', 'PAS_chr2-1_0308', 'PAS_chr2-2_0382', 'PAS_chr3_0417', 'PAS_chr2-1_0885', 'PAS_chr4_0648', 'PAS_chr1-1_0282', 'PAS_chr2-1_0209', 'PAS_chr4_0197']	ppa00480	Glutathione metabolism
['  UDP-glucose pyrophosphorylase (UGPase), catalyses the reversible formation of UDP-Glc', '  Catalytic subunit of 1,3-beta-D-glucan synthase', '  Catalytic subunit of 1,3-beta-D-glucan synthase', '  Catalytic subunit of 1,3-beta-D-glucan synthase', '  Major exo-1,3-beta-glucanase of the cell wall, involved in cell wall beta-glucan assembly', '  Endo-beta-1,3-glucanase, major protein of the cell wall, involved in cell wall maintenance', '  Sporulation-specific exo-1,3-beta-glucanase', '  hypothetical protein', '  Glycogen synthase, similar to Gsy1p', '  Self-glucosylating initiator of glycogen synthesis, also glucosylates N-dodecyl-beta-D-maltoside', '  Non-essential glycogen phosphorylase required for the mobilization of glycogen, activity is regulate', '  Glycogen debranching enzyme containing glucanotranferase and alpha-1,6-amyloglucosidase activities', '  Intracellular sporulation-specific glucoamylase involved in glycogen degradation', '  hypothetical protein', '  Phosphatase subunit of the trehalose-6-phosphate synthase/phosphatase complex', '  Regulatory subunit of trehalose-6-phosphate synthase/phosphatase complex', '  Neutral trehalase, degrades trehalose', '  Phosphoglucomutase', '  Phosphoglucomutase, catalyzes interconversion of glucose-1-phosphate and glucose-6-phospate', '  Non-essential protein of unknown function required for transcriptional induction', '  Hexokinase isoenzyme 2 that catalyzes phosphorylation of glucose in the cytosol', '  hypothetical protein', '  Hexokinase-2', '  Glycolytic enzyme phosphoglucose isomerase']	['PAS_chr1-3_0122', 'PAS_chr2-1_0661', 'PAS_chr2-1_0263', 'PAS_chr1-3_0225', 'PAS_chr2-1_0454', 'PAS_chr1-4_0426', 'PAS_chr4_0692', 'PAS_chr4_0013', 'PAS_chr3_0781', 'PAS_chr4_0847', 'PAS_chr2-1_0173', 'PAS_chr2-2_0437', 'PAS_chr4_0579', 'PAS_c131_0017', 'PAS_chr1-3_0054', 'PAS_chr2-1_0739', 'PAS_chr4_0816', 'PAS_chr1-4_0264', 'PAS_chr2-1_0771', 'PAS_chr4_0624', 'PAS_chr1-4_0447', 'PAS_chr3_1192', 'PAS_chr1-4_0561', 'PAS_chr3_0456']	ppa00500	Starch and sucrose metabolism
['  hypothetical protein', '  Dolichol kinase, catalyzes the terminal step in dolichyl monophosphate (Dol-P) biosynthesis', '  UDP-N-acetyl-glucosamine-1-P transferase', '  UDP-glucose:dolichyl-phosphate glucosyltransferase', '  Catalytic component of UDP-GlcNAc transferase', '  Component of UDP-GlcNAc transferase', '  Dolichol-phosphate mannosyltransferase', '  hypothetical protein', '  Mannosyltransferase, involved in asparagine-linked glycosylation in the endoplasmic reticulum (ER)', '  hypothetical protein', '  Alpha-1,2-mannosyltransferase', '  Dolichol-P-Man dependent alpha(1-3) mannosyltransferase', '  Mannosyltransferase, involved in N-linked glycosylation', '  Alpha-1,6-mannosyltransferase localized to the ER', '  Alpha 1,3 glucosyltransferase', '  Glucosyl transferase, involved in N-linked glycosylation', '  Dolichyl-phosphoglucose-dependent alpha-1,2 glucosyltransferase of the ER', '  Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3', '  Alpha subunit of the oligosaccharyltransferase complex of the ER lumen', '  hypothetical protein', '  Epsilon subunit of the oligosaccharyltransferase complex of the ER lumen', '  Gamma subunit of the oligosaccharyltransferase complex of the ER lumen, which catalyzes asparagine-l', '  Subunit of the oligosaccharyltransferase complex of the ER lumen', '  Beta subunit of the oligosaccharyl transferase (OST) glycoprotein complex', '  Dolichyl pyrophosphate (Dol-P-P) phosphatase with a luminally oriented active site in the ER', '  Processing alpha glucosidase I, ER type II integral membrane N-glycoprotein', '  Glucosidase II catalytic subunit required for normal cell wall synthesis', '  Alpha-1,2-mannosidase involved in ER quality control']	['PAS_chr1-4_0673', 'PAS_chr2-1_0498', 'PAS_chr2-1_0727', 'PAS_chr3_0552', 'PAS_chr1-4_0448', 'PAS_chr3_0944', 'PAS_chr1-1_0459', 'PAS_chr1-4_0070', 'PAS_chr2-1_0759', 'PAS_c121_0002', 'PAS_chr1-4_0417', 'PAS_chr4_0712', 'PAS_chr2-2_0036', 'PAS_chr4_0544', 'PAS_chr2-1_0549', 'PAS_chr3_0999', 'PAS_chr1-4_0475', 'PAS_chr1-4_0685', 'PAS_chr3_0741', 'PAS_chr1-3_0248', 'PAS_chr2-2_0346', 'PAS_chr4_0610', 'PAS_chr3_1142', 'PAS_chr2-1_0423', 'PAS_chr4_0264', 'PAS_chr1-1_0215', 'PAS_chr2-1_0778', 'PAS_chr2-1_0753']	ppa00510	N-Glycan biosynthesis
['  Vacuolar alpha mannosidase, involved in free oligosaccharide (fOS) degradation']	['PAS_chr4_0790']	ppa00511	Other glycan degradation
['  Catalytic component of UDP-GlcNAc transferase', '  Component of UDP-GlcNAc transferase', '  Mannosyltransferase, involved in asparagine-linked glycosylation in the endoplasmic reticulum (ER)', '  hypothetical protein', '  Alpha-1,2-mannosyltransferase', '  Dolichol-P-Man dependent alpha(1-3) mannosyltransferase', '  Mannosyltransferase, involved in N-linked glycosylation', '  Alpha-1,6-mannosyltransferase localized to the ER', '  Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3', '  Alpha subunit of the oligosaccharyltransferase complex of the ER lumen', '  hypothetical protein', '  Epsilon subunit of the oligosaccharyltransferase complex of the ER lumen', '  Gamma subunit of the oligosaccharyltransferase complex of the ER lumen, which catalyzes asparagine-l', '  Subunit of the oligosaccharyltransferase complex of the ER lumen', '  Beta subunit of the oligosaccharyl transferase (OST) glycoprotein complex', '  Alpha-1,2-mannosidase involved in ER quality control', '  Mannosyltransferase of the cis-Golgi apparatus', '  Subunit of Golgi mannosyltransferase complex also containing Anp1p, Mnn10p, Mnn11p, and Hoc1p', '  Component of the mannan polymerase I', '  Subunit of a Golgi mannosyltransferase complex', '  Subunit of a Golgi mannosyltransferase complex that also contains Anp1p, Mnn9p, Mnn10p, and Hoc1p', '  Subunit of the alpha-1,6 mannosyltransferase complex', '  Alpha-1,6-mannosyltransferase involved in cell wall mannan biosynthesis', '  Alpha-1,2-mannosyltransferase', '  Alpha-1,2-mannosyltransferase, responsible for addition of the first alpha-1,2-linked mannose', '  Alpha-1,2-mannosyltransferase']	['PAS_chr1-4_0448', 'PAS_chr3_0944', 'PAS_chr2-1_0759', 'PAS_c121_0002', 'PAS_chr1-4_0417', 'PAS_chr4_0712', 'PAS_chr2-2_0036', 'PAS_chr4_0544', 'PAS_chr1-4_0685', 'PAS_chr3_0741', 'PAS_chr1-3_0248', 'PAS_chr2-2_0346', 'PAS_chr4_0610', 'PAS_chr3_1142', 'PAS_chr2-1_0423', 'PAS_chr2-1_0753', 'PAS_chr1-3_0251', 'PAS_chr4_0103', 'PAS_chr2-1_0772', 'PAS_chr2-2_0185', 'PAS_chr2-2_0125', 'PAS_chr3_0515', 'PAS_chr3_0620', 'PAS_chr1-4_0037', 'PAS_chr3_0370', 'PAS_chr3_0787']	ppa00513	Various types of N-glycan biosynthesis
['  Protein O-mannosyltransferase, transfers mannose residues from dolichyl phosphate-D-mannose to prote', '  Protein O-mannosyltransferase, transfers mannose from dolichyl phosphate-D-mannose', '  Protein O-mannosyltransferase, transfers mannose residues from dolichyl phosphate-D-mannose to prote', '  Alpha1,2-mannosyltransferase', '  hypothetical protein', '  Alpha-1,2-mannosyltransferase involved in O-and N-linked protein glycosylation']	['PAS_chr2-1_0256', 'PAS_chr4_0777', 'PAS_chr2-1_0212', 'PAS_chr3_0215', 'PAS_chr3_1162', 'PAS_chr1-3_0138']	ppa00514	Other types of O-glycan biosynthesis
['  Protein O-mannosyltransferase, transfers mannose residues from dolichyl phosphate-D-mannose to prote', '  Protein O-mannosyltransferase, transfers mannose from dolichyl phosphate-D-mannose', '  Protein O-mannosyltransferase, transfers mannose residues from dolichyl phosphate-D-mannose to prote']	['PAS_chr2-1_0256', 'PAS_chr4_0777', 'PAS_chr2-1_0212']	ppa00515	Mannose type O-glycan biosynthesis
['  Sporulation-specific chitinase', '  Chitin deacetylase, together with Cda1p involved in the biosynthesis ascospore wall component', '  Essential N-acetylglucosamine-phosphate mutase', '  UDP-N-acetylglucosamine pyrophosphorylase', '  Microsomal cytochrome b reductase', '  Mitochondrial NADH-cytochrome b5 reductase, involved in ergosterol biosynthesis', '  Essential protein required for maturation of Gas1p and Pho8p, proposed to be involved in protein tra', '  Chitin synthase I', '  Chitin synthase II', '  Chitin synthase III, catalyzes the transfer of N-acetylglucosamine (GlcNAc) to chitin', '  Non-essential protein of unknown function required for transcriptional induction', '  Hexokinase isoenzyme 2 that catalyzes phosphorylation of glucose in the cytosol', '  hypothetical protein', '  Hexokinase-2', '  Evolutionarily conserved glucosamine-6-phosphate acetyltransferase', '  Glutamine-fructose-6-phosphate amidotransferase', '  Glycolytic enzyme phosphoglucose isomerase', '  Phosphoglucomutase', '  Phosphoglucomutase, catalyzes interconversion of glucose-1-phosphate and glucose-6-phospate', '  UDP-glucose pyrophosphorylase (UGPase), catalyses the reversible formation of UDP-Glc', '  Phosphomannomutase, involved in synthesis of GDP-mannose and dolichol-phosphate-mannose', '  GDP-mannose pyrophosphorylase (mannose-1-phosphate guanyltransferase)', '  GDP-mannose pyrophosphorylase (mannose-1-phosphate guanyltransferase), synthesizes GDP-mannose from', '  Mannose-6-phosphate isomerase, catalyzes the interconversion of fructose-6-P and mannose-6-P']	['PAS_chr3_0107', 'PAS_chr1-1_0103', 'PAS_chr1-1_0067', 'PAS_chr3_0676', 'PAS_chr4_0149', 'PAS_chr4_0737', 'PAS_chr2-1_0199', 'PAS_chr1-1_0393', 'PAS_chr2-2_0094', 'PAS_chr2-1_0065', 'PAS_chr4_0624', 'PAS_chr1-4_0447', 'PAS_chr3_1192', 'PAS_chr1-4_0561', 'PAS_chr4_0060', 'PAS_chr2-1_0626', 'PAS_chr3_0456', 'PAS_chr1-4_0264', 'PAS_chr2-1_0771', 'PAS_chr1-3_0122', 'PAS_chr2-2_0053', 'PAS_chr3_0870', 'PAS_chr2-1_0093', 'PAS_chr3_1115']	ppa00520	Amino sugar and nucleotide sugar metabolism
['  hypothetical protein', '  hypothetical protein', '  Putative fatty aldehyde dehydrogenase', '  Mitochondrial aldehyde dehydrogenase', '  Mitochondrial aldehyde dehydrogenase', '  NADPH-dependent medium chain alcohol dehydrogenase with broad substrate specificity', '  NADPH-dependent medium chain alcohol dehydrogenase with broad substrate specificity', '  Dihydroxyacetone kinase, required for detoxification of dihydroxyacetone (DHA)', '  2-methylbutyraldehyde reductase, may be involved in isoleucine catabolism', '  Glycerol kinase, converts glycerol to glycerol-3-phosphate', '  Glycerol-3-phosphate/dihydroxyacetone phosphate dual substrate-specific sn-1 acyltransferase', '  Glycerol 3-phosphate/dihydroxyacetone phosphate dual substrate-specific sn-1 acyltransferase of the', '  1-acyl-sn-gylcerol-3-phosphate acyltransferase', '  Lysophospholipid acyltransferase', '  hypothetical protein', '  hypothetical protein', '  Diacylglycerol pyrophosphate (DGPP) phosphatase', '  hypothetical protein', '  hypothetical protein', '  Protein with lipolytic activity towards triacylglycerols and diacylglycerols when expressed in E. co', '  Triacylglycerol lipase of the lipid particle, responsible for all the TAG lipase activity of the lip', '  Triacylglycerol lipase involved in triacylglycerol mobilization and degradation', '  hypothetical protein', '  Serine hydrolase with sequence similarity to monoglyceride lipase (MGL)', '  Diacylglycerol acyltransferase']	['PAS_chr4_0938', 'PAS_chr2-1_0853', 'PAS_chr1-4_0064', 'PAS_chr3_0987', 'PAS_chr4_0043', 'PAS_chr4_0576', 'PAS_chr1-1_0357', 'PAS_chr3_0841', 'PAS_chr1-1_0360', 'PAS_chr4_0783', 'PAS_chr1-3_0081', 'PAS_chr3_0073', 'PAS_chr1-3_0156', 'PAS_chr3_0271', 'PAS_chr2-1_0835', 'PAS_chr3_0512', 'PAS_chr3_0198', 'PAS_chr1-1_0498', 'PAS_chr2-1_0878', 'PAS_chr2-1_0794', 'PAS_chr2-1_0279', 'PAS_chr2-1_0466', 'PAS_chr1-1_0465', 'PAS_chr3_0986', 'PAS_chr3_0218']	ppa00561	Glycerolipid metabolism
['  Phosphatidylinositol 3-kinase responsible for the synthesis of phosphatidylinositol 3-phosphate', '  Phosphatidylinositol 3-phosphate', '  Phosphatidylinositol-4-kinase that functions in the Pkc1p protein kinase pathway', '  Phosphatidylinositol 4-kinase', '  Type II phosphatidylinositol 4-kinase that binds Las17p', '  Phosphatidylinositol (PI) phosphatase', '  Phosphatidylinositol-4-phosphate 5-kinase', '  Polyphosphatidylinositol phosphatase, dephosphorylates multiple phosphatidylinositols', '  Phosphatidylinositol 4,5-bisphosphate 5-phosphatase, synaptojanin-like protein with an N-terminal Sa', '  Polyphosphatidylinositol phosphatase', '  Phospholipase C', '  1-phosphatidylinositol phosphodiesterase', '  Inositol monophosphatase, involved in biosynthesis of inositol', '  Phosphatidylinositol synthase, required for biosynthesis of phosphatidylinositol', '  Inositol 1-phosphate synthase', '  Inositol polyphosphate multikinase (IPMK)', '  hypothetical protein', '  hypothetical protein', '  Mitochondrial aldehyde dehydrogenase', '  Triose phosphate isomerase, abundant glycolytic enzyme']	['PAS_chr4_0478', 'PAS_chr3_0354', 'PAS_chr1-3_0100', 'PAS_chr1-4_0380', 'PAS_chr1-4_0143', 'PAS_chr1-4_0617', 'PAS_chr1-1_0457', 'PAS_chr2-1_0178', 'PAS_chr2-1_0424', 'PAS_chr1-4_0456', 'PAS_chr4_0700', 'PAS_chr4_0907', 'PAS_chr4_0730', 'PAS_chr2-1_0695', 'PAS_chr2-2_0113', 'PAS_chr1-4_0293', 'PAS_chr3_0630', 'PAS_chr2-1_0051', 'PAS_chr4_0470', 'PAS_chr3_0951']	ppa00562	Inositol phosphate metabolism
['  UDP-GlcNAc-binding and catalytic subunit of the enzyme that mediates the first step in GPI synthesis', '  hypothetical protein', '  hypothetical protein', '  Membrane protein involved in the synthesis of N-acetylglucosaminyl phosphatidylinositol (GlcNAc-PI)', '  hypothetical protein', '  ER membrane protein,N-acetylglucosaminyl phosphatidylinositol de-N-acetylase', '  Protein involved in the inositol acylation of glucosaminyl phosphatidylinositol (GlcN-PI)', '  Putative protein of unknown function', '  Glycosylphosphatidylinositol-alpha 1,4 mannosyltransferase I', '  Protein involved in glycosylphosphatidylinositol (GPI) anchor synthesis', '  Integral membrane protein involved in glycosylphosphatidylinositol (GPI) anchor synthesis', '  ER membrane localized phosphoryltransferase that adds phosphoethanolamine', '  ER membrane protein involved in a late step of glycosylphosphatidylinositol (GPI) anchor assembly', '  hypothetical protein', '  ER membrane glycoprotein subunit of the glycosylphosphatidylinositol transamidase complex', '  Transmembrane protein subunit of the glycosylphosphatidylinositol transamidase complex', '  Transmembrane protein subunit of the glycosylphosphatidylinositol transamidase complex', '  GPI transamidase subunit', '  GPI inositol deacylase of the ER that negatively regulates COPII vesicle formation', '  Alpha 1,2-mannosyltransferase involved in glycosyl phosphatidyl inositol (GPI) biosynthesis']	['PAS_chr2-1_0303', 'PAS_chr3_0454', 'PAS_chr2-1_0645', 'PAS_chr1-4_0470', 'PAS_chr1-4_0070', 'PAS_chr1-1_0044', 'PAS_chr3_0369', 'PAS_chr4_0595', 'PAS_chr3_0386', 'PAS_chr2-2_0076', 'PAS_chr2-2_0039', 'PAS_chr1-4_0381', 'PAS_chr4_0652', 'PAS_FragB_0071', 'PAS_chr4_0261', 'PAS_chr3_0475', 'PAS_chr2-1_0417', 'PAS_chr2-2_0427', 'PAS_chr2-1_0699', 'PAS_chr3_0882']	ppa00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
['  NAD-dependent glycerol-3-phosphate dehydrogenase, key enzyme of glycerol synthesis', '  Mitochondrial glycerol-3-phosphate dehydrogenase', '  Glycerol-3-phosphate/dihydroxyacetone phosphate dual substrate-specific sn-1 acyltransferase', '  Glycerol 3-phosphate/dihydroxyacetone phosphate dual substrate-specific sn-1 acyltransferase of the', '  1-acyl-sn-gylcerol-3-phosphate acyltransferase', '  Lysophospholipid acyltransferase', '  Triacylglycerol lipase involved in triacylglycerol mobilization and degradation', '  hypothetical protein', '  NADPH-dependent 1-acyl dihydroxyacetone phosphate reductase', '  hypothetical protein', '  Diacylglycerol pyrophosphate (DGPP) phosphatase', '  hypothetical protein', '  Diacylglycerol kinase, localized to the endoplasmic reticulum (ER)', '  sn-1,2-diacylglycerol ethanolamine-and cholinephosphotranferase', '  Phosphatidyl Glycerol phospholipase C', '  Phospholipase D, catalyzes the hydrolysis of phosphatidylcholine', '  Phospholipase B (lysophospholipase) involved in phospholipid metabolism', '  Serine esterase that deacylates exogenous lysophospholipids', '  Glycerophosphocholine (GroPCho) phosphodiesterase', '  Choline kinase, catalyzing the first step in phosphatidylcholine synthesis via the CDP-choline', '  Cholinephosphate cytidylyltransferase, also known as CTP:phosphocholine cytidylyltransferase', '  Choline phosphate cytidylyltransferase', '  Phospholipid methyltransferase (methylene-fatty-acyl-phospholipid synthase)', '  Phosphatidylethanolamine methyltransferase (PEMT)', '  Phosphatidate cytidylyltransferase (CDP-diglyceride synthetase)', '  Phosphatidylserine synthase, functions in phospholipid biosynthesis', '  Phosphatidylserine decarboxylase of the mitochondrial inner membrane', '  Phosphatidylserine decarboxylase of the Golgi and vacuolar membranes', '  Phosphatidylglycerolphosphate synthase, catalyzes the synthesis of phosphatidylglycerolphosphate', '  hypothetical protein', '  Cardiolipin synthase', '  Lyso-phosphatidylcholine acyltransferase', '  Putative protein of unknown function', '  Putative protein of unknown function', '  Phosphatidylinositol synthase, required for biosynthesis of phosphatidylinositol', '  hypothetical protein']	['PAS_chr2-2_0111', 'PAS_chr3_0579', 'PAS_chr1-3_0081', 'PAS_chr3_0073', 'PAS_chr1-3_0156', 'PAS_chr3_0271', 'PAS_chr2-1_0466', 'PAS_chr2-1_0835', 'PAS_chr2-2_0063', 'PAS_chr3_0512', 'PAS_chr3_0198', 'PAS_chr1-1_0498', 'PAS_chr3_0072', 'PAS_chr2-2_0357', 'PAS_chr3_0305', 'PAS_chr3_0646', 'PAS_chr4_0153', 'PAS_chr1-1_0009', 'PAS_chr2-2_0314', 'PAS_chr1-4_0390', 'PAS_chr2-2_0401', 'PAS_chr4_0408', 'PAS_chr3_0859', 'PAS_chr1-4_0093', 'PAS_chr2-2_0044', 'PAS_chr1-1_0420', 'PAS_chr1-4_0019', 'PAS_chr3_1127', 'PAS_chr1-3_0238', 'PAS_chr1-4_0572', 'PAS_chr3_0570', 'PAS_chr3_0845', 'PAS_chr2-1_0786', 'PAS_chr2-1_0242', 'PAS_chr2-1_0695', 'PAS_chr2-2_0286']	ppa00564	Glycerophospholipid metabolism
['  NADPH-dependent 1-acyl dihydroxyacetone phosphate reductase', '  sn-1,2-diacylglycerol ethanolamine-and cholinephosphotranferase', '  Triacylglycerol lipase involved in triacylglycerol mobilization and degradation', '  Phospholipase D, catalyzes the hydrolysis of phosphatidylcholine', '  Lysophospholipid acyltransferase', '  Protein involved in nuclear migration, part of the dynein/dynactin pathway']	['PAS_chr2-2_0063', 'PAS_chr2-2_0357', 'PAS_chr2-1_0466', 'PAS_chr3_0646', 'PAS_chr3_0271', 'PAS_chr3_1092']	ppa00565	Ether lipid metabolism
['  Triacylglycerol lipase involved in triacylglycerol mobilization and degradation', '  Leucyl aminopeptidase (leukotriene A4 hydrolase) with epoxide hydrolase activity', '  Thiol peroxidase that functions as a hydroperoxide receptor']	['PAS_chr2-1_0466', 'PAS_chr2-1_0487', 'PAS_chr2-2_0382']	ppa00590	Arachidonic acid metabolism
['  Triacylglycerol lipase involved in triacylglycerol mobilization and degradation', '  Fatty-acyl coenzyme A oxidase', '  3-ketoacyl-CoA thiolase with broad chain length specificity']	['PAS_chr2-1_0466', 'PAS_chr1-4_0538', 'PAS_chr2-2_0267']	ppa00592	alpha-Linolenic acid metabolism
['  Component of serine palmitoyltransferase', '  Serine palmitoyltransferase 1', '  3-ketosphinganine reductase, catalyzes the second step in phytosphingosine synthesis', '  Ceramide synthase component, involved in synthesis of ceramide', '  Ceramide synthase component', '  Alkaline dihydroceramidase, involved in sphingolipid metabolism', '  delta 4-(E)-sphingolipid desaturase', '  Sphinganine C4-hydroxylase', '  Mitochondrial membrane localized inositol phosphosphingolipid phospholipase C', '  Long-chain base-1-phosphate phosphatase with specificity for dihydrosphingosine-1-phosphate', '  Minor sphingoid long-chain base kinase', '  Dihydrosphingosine phosphate lyase', '  ceramide glucosyltransferase']	['PAS_chr3_0733', 'PAS_FragB_0040', 'PAS_chr1-4_0149', 'PAS_chr1-1_0358', 'PAS_chr2-2_0193', 'PAS_chr2-2_0252', 'PAS_chr3_0939', 'PAS_chr3_0425', 'PAS_chr4_0866', 'PAS_chr3_0597', 'PAS_chr3_0399', 'PAS_chr4_0598', 'PAS_chr3_0357']	ppa00600	Sphingolipid metabolism
